type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
x,Ialtris dorsalis,(GÜNTHER 1858),,"E: Hispaniolan W-headed Racer, Brown Fanged Snake","Colubridae (Dipsadinae), Alsophiini, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14916,
,Ialtris haetianus,(COCHRAN 1935),"Ialtris haetianus haetianus (COCHRAN 1935)
Ialtris haetianus perfector (SCHWARTZ & THOMAS 1965)
Ialtris haetianus vaticinata (SCHWARTZ 1970)","E: Hispaniolan Upland Racer, Haitian Ground Snake","Colubridae (Dipsadinae), Alsophiini, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14917,
,Ialtris parishi,COCHRAN 1932,,"E: Tiburon Banded Racer, Parish's Fanged Snake","Colubridae (Dipsadinae), Alsophiini, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14918,
,Iberolacerta aranica,(ARRIBAS 1993),,E: Aran Rock Lizard,"Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14919,
,Iberolacerta aurelioi,(ARRIBAS 1994),,"E: Aurelio’s Rock Lizard
G: Aurelios-Gebirgseidechse","Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14920,
,Iberolacerta bonnali,(LANTZ 1927),,E: Pyrenean Rock Lizard,"Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14921,
,Iberolacerta cyreni,(MÜLLER & HELLMICH 1937),"Iberolacerta cyreni castilliana (ARRIBAS 1996)
Iberolacerta cyreni cyreni (MÜLLER & HELLMICH 1937)",E: Cyren’s Rock Lizard,"Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14922,
,Iberolacerta galani,"ARRIBAS, CARRANZA & ODIERNA 2006",,E: Galan’s Rock Lizard,"Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14923,
,Iberolacerta horvathi,(MÉHELY 1904),,"E: Horvath's Rock Lizard
G: Kroatische Gebirgseidechse
Croatian: velebitska gušterica","Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14924,
,Iberolacerta martinezricai,(ARRIBAS 1996),,E: Martinez-Rica’s Rock Lizard,"Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14925,
x,Iberolacerta monticola,(BOULENGER 1905),"Iberolacerta monticola astur ARRIBAS & GALÁN 2014
Iberolacerta monticola monticola (BOULENGER 1905)","E: Iberian Mountain Lizard
G: Iberische Gebirgseidechse","Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14926,
,Ichnotropis bivittata,BOCAGE 1866,"Ichnotropis bivittata bivittata BOCAGE 1866
Ichnotropis bivittata pallida LAURENT 1964",E: Angolan rough-scaled lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",14927,
x,Ichnotropis capensis,(SMITH 1838),"Ichnotropis capensis capensis (A. SMITH 1838)
Ichnotropis capensis nigrescens LAURENT 1952","E: Ornate Rough-scaled Lizard, Cape Rough-scaled Lizard, Smith's Rough-scaled Sand Lizard","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",14928,
,Ichnotropis chapini,SCHMIDT 1919,,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",14929,
,Ichnotropis grandiceps,BROADLEY 1967,,E: Caprivi Rough-scaled Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",14930,
,Ichnotropis microlepidota,MARX 1956,,E: Marx's Rough-scaled Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",14931,
,Ichnotropis tanganicana,BOULENGER 1917,,E: Tanzanian rough-scaled lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",14932,
,Iguana delicatissima,LAURENTI 1768,,"E: West Indian Iguana, Lesser Antillean Iguana
G: Karibischer Grüner Leguan","Iguanidae, Iguania, Sauria, Squamata (lizards)",14933,
x,Iguana iguana,(LINNAEUS 1758),"Iguana iguana iguana (LINNAEUS 1758)
Iguana iguana insularis BREUIL, VUILLAUME, SCHIKORSKI,  KRAUSS, MORTON,  HAYNES, DALTRY, CORRY, GAYMES,  GAYMES, BECH, JELIĆ & GRANDJEAN 2019
Iguana iguana melanoderma BREUIL, SCHIKORSKI, VUILLAUME, KRAUSS, MORTON, CORRY, BECH, JELIĆ & GRANDJEAN 2020
Iguana iguana sanctaluciae BREUIL, VUILLAUME, SCHIKORSKI,  KRAUSS, MORTON,  HAYNES, DALTRY, CORRY, GAYMES,  GAYMES, BECH, JELIĆ & GRANDJEAN 2019","E: Common Green Iguana
G: Grüner Leguan
E: Grenadines horned iguana, pink rhino iguana [insularis]
E: Saint Lucia horned iguana [sanctaluciae]
S: Iguana de Ribera
Portuguese: Camaleão, Iguana, Iguana-Verde, Sinimbu, Tejubú, Tijubú","Iguanidae, Iguania, Sauria, Squamata (lizards)",14934,
x,Iguanognathus werneri,BOULENGER 1898,,E: Spatula-tooth Snake,"Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14935,
x,Imantodes cenchoa,(LINNAEUS 1758),,"E: Neotropical Blunt-headed Treesnake, Blunthead Tree Snake
G: Riemennatter
S: Cordelilla Manchade
Portuguese: Cipó-Olhuda, Cobra-Cipó, Cobra-Fio, Dorme-Dorme, Dormideira, Dorminhoca, Jararaquinha, Papa-Lesma","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14936,
,Imantodes chocoensis,"TORRES-CARVAJAL, YÁNEZ-MUÑOZ, QUIROLA, SMITH & ALMENDÁRIZ 2012",,"E: Chocoan blunt-headed vine snakes
S: Cordoncillos del Choco","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14937,
,Imantodes gemmistratus,(COPE 1861),"Imantodes gemmistratus gemmistratus (COPE 1861)
Imantodes gemmistratus gracillimus (GÜNTHER 1895)
Imantodes gemmistratus latistratus (COPE 1887)
Imantodes gemmistratus luciodorsus OLIVER 1942
Imantodes gemmistratus oliveri SMITH 1942
Imantodes gemmistratus splendidus (GÜNTHER 1895)","E: Central American Tree Snake
S: Cordelilla Escamuda","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14938,
,Imantodes guane,MISSASSI & PRUDENTE 2015,,,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",20212,
,Imantodes inornatus,(BOULENGER 1896),,E: Western Tree Snake,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14939,
,Imantodes lentiferus,(COPE 1894),,"E: Amazon Basin Tree Snake
Portuguese: Cobra-Cipó, Dormideira, Dorminhoca","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14940,
,Imantodes phantasma,MYERS 1982,,E: Phantasma Tree Snake,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14941,
,Imantodes tenuissimus,(COPE 1867),,"E: Yucatán Blunthead Snake
S: Bejuquilla de Yucatán","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14942,
,Incaspis amaru,"ZAHER, ARREDONDO, VALENCIA, ARBELÁEZ, RODRIGUES & ALTAMIRANO-BENAVIDES 2014",,,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",17278,new genus (was: Philodryas)
x,Incaspis simonsii,BOULENGER 1900,,,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",17292,new genus (was: Philodryas)
,Incaspis tachymenoides,(SCHMIDT & WALKER 1943),,E: Schmidt's Green Racer,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",17293,new genus (was: Philodryas)
x,Indotestudo elongata,(BLYTH 1854),,"E: Elongated Tortoise, Yellow-headed tortoise
G: Gelbkopf-Landschildkröte
Chinese: 缅甸陆龟","Testudinidae, Testudinoidea, Testudines (turtles)",14943,
,Indotestudo forstenii,(SCHLEGEL & MÜLLER 1844),,"E: Travancore Tortoise, Forsten’s Tortoise, Celebes Tortoise
F: Tortue De Tranvancore, Tortue Des Celèbes
S: Tortuga Marrón De La India
Indonesian: baning sulawes, kura kura hutan sulawesi","Testudinidae, Testudinoidea, Testudines (turtles)",14944,
,Indotestudo travancorica,(BOULENGER 1907),,E: Travancore Tortoise,"Testudinidae, Testudinoidea, Testudines (turtles)",14945,
,Indotyphlops ahsanai,(KHAN 1999),,,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14946,
,Indotyphlops albiceps,(BOULENGER 1898),,"E: White-headed Blind Snake
G: Wiesskopf-Wurmschlange
Chinese: 白头钩盲蛇","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14947,
,Indotyphlops braminus,(DAUDIN 1803),,"E: Flowerpot Snake, Brahminy blindsnake, Bootlace Snake
G: Brahmanen-Wurmschlange
E: Khorat Worm Snake, Khorat Blind Snake [khoratensis]
G: Khorat-Blindschlange [khoratensis]
Chinese: 钩盲蛇
S: Culebrilla Ciega","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14948,
,Indotyphlops exiguus,(JAN 1864),,E: Belgaum Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14949,
,Indotyphlops filiformis,(DUMÉRIL & BIBRON 1844),,E: File Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14950,
,Indotyphlops fletcheri,(WALL 1919),,,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14951,
,Indotyphlops jerdoni,(BOULENGER 1890),,"E: Jerdon's Worm Snake
G: Jerdons Blindschlange","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14952,
,Indotyphlops lankaensis,(TAYLOR 1947),,E: Sri Lanka Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14954,
,Indotyphlops lazelli,(WALLACH & PAUWELS 2004),,Chinese: 香港盲蛇,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14955,
,Indotyphlops leucomelas,(BOULENGER 1890),,E: Pied Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14956,
,Indotyphlops longissimus,(DUMÉRIL & BIBRON 1844),,E: Long Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",19752,
,Indotyphlops loveridgei,(CONSTABLE 1949),,E: Loveridge's Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14957,
,Indotyphlops madgemintonae,(KHAN 1999),"Indotyphlops madgemintonae madgemintonae (KHAN 1999)
Indotyphlops madgemintonae shermani (KHAN 1999)",,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14958,
,Indotyphlops malcolmi,(TAYLOR 1947),,E: Malcolm's Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14959,
,Indotyphlops meszoelyi,(WALLACH 1999),,E: Darjeeling worm snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14960,
x,Indotyphlops pammeces,(GÜNTHER 1864),,E: South India Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14962,
,Indotyphlops porrectus,(STOLICZKA 1871),,"E: Slender Worm Snake
G: Stoliczkas Blindschlange","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14963,
,Indotyphlops schmutzi,(AUFFENBERG 1980),,E: Schmutz's Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14964,
,Indotyphlops tenebrarum,(TAYLOR 1947),,,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14965,
,Indotyphlops tenuicollis,(PETERS 1864),,E: Samagutin Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14966,
,Indotyphlops veddae,(TAYLOR 1947),,E: Vedda Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14967,
,Indotyphlops violaceus,(TAYLOR 1947),,E: Violet Worm Snake,"Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes, Squamata (snakes)",14968,
,Insulasaurus arborens,(TAYLOR 1917),,E: Negros Sphenomorphus,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14969,
,Insulasaurus traanorum,"(LINKEM, DIESMOS & BROWN 2010)",,,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14970,
,Insulasaurus victoria,(BROWN & ALCALA 1980),,,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14971,
x,Insulasaurus wrighti,TAYLOR 1925,,E: Wright's Sphenomorphus,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14972,
x,Intellagama lesueurii,(GRAY 1831),"Intellagama lesueurii howittii (MCCOY 1884)
Intellagama lesueurii lesueurii (GRAY 1831)","E: lesueurii: Eastern Water Dragon
howittii: Gippsland Water Dragon
G: Australische Wasseragame","Agamidae (Amphibolurinae), Sauria, Iguania, Squamata (lizards)",14973,
x,Inyoka swazicus,(SCHAEFER 1970),,"E: Swazi Rock Snake, Swaziland House Snake
G: Swasiland-Hausschlange","Lamprophiidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14974,
x,Iphisa elegans,GRAY 1851,"Iphisa elegans elegans GRAY 1851
Iphisa elegans soinii DIXON 1974","E: Glossy Shade Lizard
Portuguese: Briba, Calango, Calango-Cobra, Lagartinho-de-Folhiço, Lagartixa, Lagarto-da-Terra, Lagarto-de-Folhiço","Gymnophthalmidae (Gymnophthalminae), Iphisini, Sauria, Gymnophthalmoidea, Squamata (lizards)",14975,
x,Iranolacerta brandtii,(DE FILIPPI 1863),"Iranolacerta brandtii brandtii (DE FILIPPI 1863)
Iranolacerta brandtii esfahanica (NILSON, RASTEGAR-POUYANI, RASTEGAR-POUYANI & ANDRÉN 2003)",E: Brandt's Persian lizard,"Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14976,
,Iranolacerta zagrosica,(RASTEGAR-POUYANI & NILSON 1998),,E: Zagros Mountains Lacerta,"Lacertidae, Lacertinae, Lacertini, Sauria, Lacertoidea, Squamata (lizards)",14977,
x,Isanophis boonsongi,(TAYLOR & ELBEL 1958),,"E: Boomsong’s Stream Snake
G: Boonsongs Bachnatter","Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",16893,
,Isopachys anguinoides,(BOULENGER 1914),,"E: Heyer's Isopachys, Thai Snake Skink
G: Fussloser Schlangenskink","Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14978,
,Isopachys borealis,LANG & BÖHME 1990,,E: Lang's Isopachys,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14979,
x,Isopachys gyldenstolpei,LÖNNBERG 1916,,"E: Gyldenstolpe's Isopachys, Gyldenstolpe’s Snake Skink
G: Gyldenstolpes Schlangenskink","Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14980,
,Isopachys roulei,(ANGEL 1920),,"E: Chonburi Snake Skink
G: Chonburi-Schlangenskink","Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",14981,
,Ithycyphus blanci,DOMERGUE 1988,,,"Pseudoxyrhophiidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14982,
x,Ithycyphus goudoti,(SCHLEGEL 1837),,E: Forest Night Snake,"Pseudoxyrhophiidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14983,
,Ithycyphus miniatus,(SCHLEGEL 1837),,"E: Cinnabar Malagasy Vinesnake, Cinnabar Malagasy Night Snake","Pseudoxyrhophiidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14984,
,Ithycyphus oursi,DOMERGUE 1986,,,"Pseudoxyrhophiidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14985,
,Ithycyphus perineti,DOMERGUE 1986,,,"Pseudoxyrhophiidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",14986,
x,Janetaescincus braueri,(BOETTGER 1896),,,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",14987,
,Janetaescincus veseyfitzgeraldi,(PARKER 1947),,,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",14988,
,Japalura andersoniana,ANNANDALE 1905,,"E: Anderson's Mountain lizard
G: Andersons Bergwaldagame
Chinese: 长肢攀蜥","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",14989,
,Japalura dasi,(SHAH & KÄSTLE 2002),,"E: Agaupani mountain lizard, Agaupani forest agama
G: Agaupani Bergwaldagame
Nepali: Agaupani jangali chheparo, hariyo chheparo","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",14994,
,Japalura kumaonensis,(ANNANDALE 1907),,"E: Kumaon Mountain Lizard, Kumaon forest agama
G: Kumaon-Bergwaldagame","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",15000,
,Japalura major,(JERDON 1870),,"E: Large Mountain Lizard, Greater forest agama
G: Große Bergwaldagame","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",15002,
,Japalura sagittifera,SMITH 1940,,"E: Burmese Japalure
G: Burma-Bergwaldagame","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",15008,
,Japalura tricarinata,(BLYTH 1853),,"E: Three Keeled Mountain Lizard, Tricarinate forest agama
G: Dreikiel-Bergwaldagame
Chinese: 三棱攀蜥 ","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",15011,
x,Japalura variegata,GRAY 1853,,"Variegated Mountain Lizard, Himalayan Dragon
Chinese: ‘攀蜥’ (pronounced as ‘Pan-Xi’)","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",15013,
x,Jarujinia bipedalis,"CHAN-ARD, MAKCHAI & COTA 2011",,,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",15017,
,Kaestlea beddomii,(BOULENGER 1887),,,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",15018,
x,Kaestlea bilineata,(GRAY 1846),,E: Two-lined Ground Skink,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",15019,
,Kaestlea laterimaculata,(BOULENGER 1887),,E: Side-spotted skink ,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",15020,
,Kaestlea palnica,(BOETTGER 1892),,,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",15021,
,Kaestlea travancorica,(BEDDOME 1870),,E: Travancore Ground Skink,"Scincidae, Sphenomorphinae, Scincoidea, Sauria, Squamata (lizards)",15022,
x,Kaieteurosaurus hindsi,KOK 2005,,,"Gymnophthalmidae (Cercosaurinae s.l., Ecpleopodinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",15023,
x,Kanakysaurus viviparus,"SADLIER & BAUER, SMITH & WHITAKER 2004",,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",15024,
,Kanakysaurus zebratus,"SADLIER & BAUER, SMITH & WHITAKER 2008",,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",15025,
x,Karnsophis siantaris,MURPHY & VORIS 2013,,E: Sumatran Short-tailed Snake,"Homalopsidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",15026,
,Karusasaurus jordani,(PARKER 1936),,"E: Jordan’s Girdled Lizard, Namibian Girdled Lizard","Cordylidae (Cordylinae), Scincoidea, Sauria, Squamata (lizards)",15027,
x,Karusasaurus polyzonus,(SMITH 1838),,"E: Southern Karusa Lizard, Karoo Girdled Lizard","Cordylidae (Cordylinae), Scincoidea, Sauria, Squamata (lizards)",15028,
x,Kataphraktosaurus ungerhamiltoni,"ROJAS-RUNJAIC,  BARRIO-AMORÓS, SEÑARIS, RIVA & CASTROVIEJO-FISHER 2021",,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",23685,new species
,Kentropyx altamazonica,(COPE 1875),,"E: Cocha Whiptail
Portuguese: Calango, Calango-Verde, Calanguinho, Iguaninha Lagarto","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15029,
,Kentropyx borckiana,(PETERS 1869),,"E: Guyana Whiptail, Guyana Kentropyx","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15030,
x,Kentropyx calcarata,SPIX 1825,,"E: Striped forest whiptail
S: Lagartija selvática rayada
Portuguese: Calango, Calango-D’água, Calango-da-Mata, Calango-Verde, Calanguinho, Lagarto, Lagarto-da-Mata","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15031,
,Kentropyx lagartija,GALLARDO 1962,,,"Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15032,
,Kentropyx paulensis,(BOETTGER 1893),,"E: Boettger's Kentropyx
Portuguese: Calango, Calanguinho","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15033,
,Kentropyx pelviceps,(COPE 1868),,"E: Forest Whiptail
Portuguese: Calango, Chicote-da-Floresta, Lagarto","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15034,
,Kentropyx striata,(DAUDIN 1802),,"E: Striped Whiptail
Portuguese: Calango, Lagarto","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15035,
,Kentropyx vanzoi,GALLAGHER & DIXON 1980,,"E: Gallagher's Kentropyx
Portuguese: Calango, Calanguinho, Calanguinho-Listrado","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15036,
,Kentropyx viridistriga,(BOULENGER 1894),,"E: Green Kentropyx
Portuguese: Calango, Calanguinho, Calanguinho-de-Listras-Verdes","Teiidae, Teiinae, Gymnophthalmoidea, Sauria, Squamata (lizards)",15037,
,Kinixys belliana,GRAY 1831,,"E: Bell’s Hingeback Tortoise, Bell's eastern hinged tortoise","Testudinidae, Testudinoidea, Testudines (turtles)",15038,
x,Kinixys erosa,(SCHWEIGGER 1812),,"E: Serrated hinge-back tortoise, Eroded Hingeback Tortoise","Testudinidae, Testudinoidea, Testudines (turtles)",15039,
,Kinixys homeana,BELL 1827,,E: Home’s Hingeback Tortoise,"Testudinidae, Testudinoidea, Testudines (turtles)",15040,
,Kinixys lobatsiana,(POWER 1927),,E: Lobatse Hingeback Tortoise,"Testudinidae, Testudinoidea, Testudines (turtles)",15041,
,Kinixys natalensis,HEWITT 1935,,E: Natal Hingeback Tortoise,"Testudinidae, Testudinoidea, Testudines (turtles)",15042,
,Kinixys nogueyi,(LATASTE 1886),,E: Bell’s Hingeback Tortoise,"Testudinidae, Testudinoidea, Testudines (turtles)",15043,
,Kinixys spekii,GRAY 1863,,"E: Speke’s Hinged-back tortoise, Speke's Hingeback Tortoise, savanna hingeback","Testudinidae, Testudinoidea, Testudines (turtles)",15044,
,Kinixys zombensis,HEWITT 1931,"Kinixys zombensis zombensis HEWITT 1931
Kinixys zombensis domerguei (VUILLEMIN 1972)","E: Bell’s Hingeback Tortoise
G: Glattrand-Gelenkschildkröte","Testudinidae, Testudinoidea, Testudines (turtles)",15045,
,Kinosternon acutum,GRAY 1831,,"E: Tabasco Mud Turtle
S: Pochitoque Negro","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15046,
,Kinosternon alamosae,BERRY & LEGLER 1980,,"E: Alamos Mud Turtle
S: Casquito de Alamos","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15047,
,Kinosternon angustipons,LEGLER 1965,,E: Central American Mud Turtle,"Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15048,
,Kinosternon baurii,(GARMAN 1891),,"E: Striped Mud Turtle
G: Dreistreifen-Klappschildkröte","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15050,
,Kinosternon chimalhuaca,"BERRY, SEIDEL & IVERSON 1997",,"E: Jalisco Mud Turtle
S: Casquito de Jalisco","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15051,
,Kinosternon cora,"LOC-BARRAGÁN, REYES-VELASCO, WOOLRICH-PIÑA, GRÜNWALD, VENEGAS DE ANAYA, RANGEL-MENDOZA & LÓPEZ-LUNA 2020",,"E: Cora Mud Turtle
S: Casquito cora, Chacuanita cora","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",23371,
,Kinosternon creaseri,HARTWEG 1934,,"E: Creaser’s Mud Turtle
S: Casquito de Creaser","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15052,
,Kinosternon dunni,SCHMIDT 1947,,E: Colombian Mud Turtle,"Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15053,
,Kinosternon durangoense,IVERSON 1979,,"E: Durango Mud Turtle
S: Casquito de Durango","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15054,
,Kinosternon flavescens,(AGASSIZ 1857),,"E: Yellow Mud Turtle
S: Casquito de Amarillo","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15055,
,Kinosternon herrerai,STEJNEGER 1925,,"E: Herrara’s Mud Turtle
S: Casquito de Herrera","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15056,
,Kinosternon hirtipes,(WAGLER 1830),"Kinosternon hirtipes hirtipes (WAGLER 1830)
Kinosternon hirtipes chapalaense IVERSON 1981
Kinosternon hirtipes magdalense IVERSON 1981
Kinosternon hirtipes megacephalum IVERSON 1981
Kinosternon hirtipes murrayi GLASS & HARTWEG 1951
Kinosternon hirtipes tarascense IVERSON 1981","E: Mexican Mud Turtle, Rough-footed Mud Turtle
murrayi: Big Bend Mud Turtle, Mexican Plateau Mud Turtle
S: Casquito de Pata Rugosa","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15057,
,Kinosternon integrum,LE CONTE 1854,,"E: Mexican Mud Turtle
G: Mexikanische Klappschildkröte
S: Casquito de Fango Mexicana","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15058,
,Kinosternon leucostomum,"(DUMÉRIL, BIBRON & DUMÉRIL 1851)","Kinosternon leucostomum leucostomum DUMÉRIL, BIBRON & DUMÉRIL 1851
Kinosternon leucostomum postinguinale COPE 1887","E: White-lipped Mud Turtle
G: Weissmaul-Klappschildkröte
S: Pochitoque","Kinosternidae (Kinosterninae), Kinosternoidea, Testudines (turtles)",15059,
